legacy_source,outgoing_source,legacy_route,disposition,headings_missing,substantive_blocks_missing,media_refs_missing,classes_missing,styles_missing
branding.rst.txt,branding.rst,branding.html,preserved-exact-live-source,0,0,0,0,0
changelog.md.txt,changelog.md,changelog.html,preserved+extended,0,0,0,0,0
code-of-conduct.md.txt,code-of-conduct.md,code-of-conduct.html,preserved+extended,0,0,0,0,0
contributing.md.txt,contributing.md,contributing.html,preserved+extended,0,0,0,0,0
editions/alpha/0-overview.md.txt,editions/alpha/0-overview.md,editions/alpha/0-overview.html,preserved+extended,0,0,0,0,0
editions/alpha/0-overview/0-1-introduction.md.txt,editions/alpha/0-overview/0-1-introduction.md,editions/alpha/0-overview/0-1-introduction.html,preserved+extended,0,0,0,0,0
editions/alpha/0-overview/0-2-problem-statement.md.txt,editions/alpha/0-overview/0-2-problem-statement.md,editions/alpha/0-overview/0-2-problem-statement.html,preserved+extended,0,0,0,0,0
editions/alpha/0-overview/0-3-executive-summary.md.txt,editions/alpha/0-overview/0-3-executive-summary.md,editions/alpha/0-overview/0-3-executive-summary.html,preserved+extended,0,0,0,0,0
editions/alpha/0-overview/README.md.txt,editions/alpha/0-overview/README.md,editions/alpha/0-overview/README.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide.md.txt,editions/alpha/1-implementation-guide.md,editions/alpha/1-implementation-guide.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-1-first-steps/1-1-1-prerequisites.md.txt,editions/alpha/1-implementation-guide/1-1-first-steps/1-1-1-prerequisites.md,editions/alpha/1-implementation-guide/1-1-first-steps/1-1-1-prerequisites.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-1-first-steps/1-1-2-budget-procurement.md.txt,editions/alpha/1-implementation-guide/1-1-first-steps/1-1-2-budget-procurement.md,editions/alpha/1-implementation-guide/1-1-first-steps/1-1-2-budget-procurement.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-1-first-steps/1-1-3-deployment-steps.md.txt,editions/alpha/1-implementation-guide/1-1-first-steps/1-1-3-deployment-steps.md,editions/alpha/1-implementation-guide/1-1-first-steps/1-1-3-deployment-steps.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-1-first-steps/1-1-4-configuration.md.txt,editions/alpha/1-implementation-guide/1-1-first-steps/1-1-4-configuration.md,editions/alpha/1-implementation-guide/1-1-first-steps/1-1-4-configuration.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-1-first-steps/README.md.txt,editions/alpha/1-implementation-guide/1-1-first-steps/README.md,editions/alpha/1-implementation-guide/1-1-first-steps/README.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-1-first-steps/index.md.txt,editions/alpha/1-implementation-guide/1-1-first-steps/index.md,editions/alpha/1-implementation-guide/1-1-first-steps/index.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-2-indoors-setup/1-2-1-agol.md.txt,editions/alpha/1-implementation-guide/1-2-indoors-setup/1-2-1-agol.md,editions/alpha/1-implementation-guide/1-2-indoors-setup/1-2-1-agol.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-2-indoors-setup/1-2-2-enterprise.md.txt,editions/alpha/1-implementation-guide/1-2-indoors-setup/1-2-2-enterprise.md,editions/alpha/1-implementation-guide/1-2-indoors-setup/1-2-2-enterprise.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-2-indoors-setup/index.md.txt,editions/alpha/1-implementation-guide/1-2-indoors-setup/index.md,editions/alpha/1-implementation-guide/1-2-indoors-setup/index.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-3-integration/1-3-1-general.md.txt,editions/alpha/1-implementation-guide/1-3-integration/1-3-1-general.md,editions/alpha/1-implementation-guide/1-3-integration/1-3-1-general.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-3-integration/1-3-2-servicenow.md.txt,editions/alpha/1-implementation-guide/1-3-integration/1-3-2-servicenow.md,editions/alpha/1-implementation-guide/1-3-integration/1-3-2-servicenow.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-3-integration/1-3-3-cherwell.md.txt,editions/alpha/1-implementation-guide/1-3-integration/1-3-3-cherwell.md,editions/alpha/1-implementation-guide/1-3-integration/1-3-3-cherwell.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-3-integration/index.md.txt,editions/alpha/1-implementation-guide/1-3-integration/index.md,editions/alpha/1-implementation-guide/1-3-integration/index.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-4-utilization/1-4-1-basic-usage.md.txt,editions/alpha/1-implementation-guide/1-4-utilization/1-4-1-basic-usage.md,editions/alpha/1-implementation-guide/1-4-utilization/1-4-1-basic-usage.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-4-utilization/1-4-2-dashboards-reporting.md.txt,editions/alpha/1-implementation-guide/1-4-utilization/1-4-2-dashboards-reporting.md,editions/alpha/1-implementation-guide/1-4-utilization/1-4-2-dashboards-reporting.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-4-utilization/1-4-3-maintenance-operations.md.txt,editions/alpha/1-implementation-guide/1-4-utilization/1-4-3-maintenance-operations.md,editions/alpha/1-implementation-guide/1-4-utilization/1-4-3-maintenance-operations.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-4-utilization/index.md.txt,editions/alpha/1-implementation-guide/1-4-utilization/index.md,editions/alpha/1-implementation-guide/1-4-utilization/index.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-5-security-notes/1-5-1-security-principles.md.txt,editions/alpha/1-implementation-guide/1-5-security-notes/1-5-1-security-principles.md,editions/alpha/1-implementation-guide/1-5-security-notes/1-5-1-security-principles.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-5-security-notes/1-5-2-security-considerations.md.txt,editions/alpha/1-implementation-guide/1-5-security-notes/1-5-2-security-considerations.md,editions/alpha/1-implementation-guide/1-5-security-notes/1-5-2-security-considerations.html,preserved+extended,0,0,0,0,0
editions/alpha/1-implementation-guide/1-5-security-notes/index.md.txt,editions/alpha/1-implementation-guide/1-5-security-notes/index.md,editions/alpha/1-implementation-guide/1-5-security-notes/index.html,preserved+extended,0,0,0,0,0
editions/alpha/2-appendices.md.txt,editions/alpha/2-appendices.md,editions/alpha/2-appendices.html,preserved+extended,0,0,0,0,0
editions/alpha/2-appendices/2-1-faq.md.txt,editions/alpha/2-appendices/2-1-faq.md,editions/alpha/2-appendices/2-1-faq.html,preserved+extended,0,0,0,0,0
editions/alpha/2-appendices/2-2-glossary.md.txt,editions/alpha/2-appendices/2-2-glossary.md,editions/alpha/2-appendices/2-2-glossary.html,preserved+extended,0,0,0,0,0
editions/alpha/2-appendices/2-3-data-dictionary.md.txt,editions/alpha/2-appendices/2-3-data-dictionary.md,editions/alpha/2-appendices/2-3-data-dictionary.html,preserved+extended,0,0,0,0,0
editions/alpha/2-appendices/2-4-bibliography.md.txt,editions/alpha/2-appendices/2-4-bibliography.md,editions/alpha/2-appendices/2-4-bibliography.html,preserved+extended,0,0,0,0,0
editions/alpha/2-appendices/README.md.txt,editions/alpha/2-appendices/README.md,editions/alpha/2-appendices/README.html,preserved+extended,0,0,0,0,0
editions/alpha/3-reference-materials.md.txt,editions/alpha/3-reference-materials.md,editions/alpha/3-reference-materials.html,preserved+extended,0,0,0,0,0
editions/alpha/3-reference-materials/3-1-preimplementation-checklist.md.txt,editions/alpha/3-reference-materials/3-1-preimplementation-checklist.md,editions/alpha/3-reference-materials/3-1-preimplementation-checklist.html,preserved+extended,0,0,0,0,0
editions/alpha/3-reference-materials/3-2-quick-start-guide.md.txt,editions/alpha/3-reference-materials/3-2-quick-start-guide.md,editions/alpha/3-reference-materials/3-2-quick-start-guide.html,preserved+extended,0,0,0,0,0
editions/alpha/3-reference-materials/3-3-integration-cheat-sheet.md.txt,editions/alpha/3-reference-materials/3-3-integration-cheat-sheet.md,editions/alpha/3-reference-materials/3-3-integration-cheat-sheet.html,preserved+extended,0,0,0,0,0
