legacy_source,planned_disposition,notes
branding.rst.txt,preserved-exact-live-source,Final evidence written by audit_rc3.py
changelog.md.txt,preserved+extended,Final evidence written by audit_rc3.py
code-of-conduct.md.txt,preserved+extended,Final evidence written by audit_rc3.py
contributing.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/0-overview.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/0-overview/0-1-introduction.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/0-overview/0-2-problem-statement.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/0-overview/0-3-executive-summary.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/0-overview/README.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-1-first-steps/1-1-1-prerequisites.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-1-first-steps/1-1-2-budget-procurement.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-1-first-steps/1-1-3-deployment-steps.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-1-first-steps/1-1-4-configuration.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-1-first-steps/README.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-1-first-steps/index.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-2-indoors-setup/1-2-1-agol.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-2-indoors-setup/1-2-2-enterprise.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-2-indoors-setup/index.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-3-integration/1-3-1-general.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-3-integration/1-3-2-servicenow.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-3-integration/1-3-3-cherwell.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-3-integration/index.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-4-utilization/1-4-1-basic-usage.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-4-utilization/1-4-2-dashboards-reporting.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-4-utilization/1-4-3-maintenance-operations.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-4-utilization/index.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-5-security-notes/1-5-1-security-principles.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-5-security-notes/1-5-2-security-considerations.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/1-implementation-guide/1-5-security-notes/index.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/2-appendices.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/2-appendices/2-1-faq.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/2-appendices/2-2-glossary.md.txt,preserved+extended,Final evidence written by audit_rc3.py
editions/alpha/2-appendices/2-3-data-dictionary.md.txt,preserved+extended,Final evidence written by audit_rc3.py
